name,price,old price,sale,url,image,fullDescription,productInformation,rating,is_best_seller,new release,productCategory
LCD Writing Tablet Size12inch- Pink Color,EGP 110.00,EGP 175.00,37%,https://www.jumia.com.eg/generic-lcd-writing-tablet-size12inch-pink-color-44242339.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/93/324244/1.jpg?2940,writing tablet LCD  size : 12 inch color : pink easy writing  painting  graffity  practice  calculus  writing on the writing area dirctly with the pin  ,SKU: GE810MP1JK9G4NAFAMZ Production Country: China Color: pink Main Material: n/a,0 out of 5 (No ratings available),TRUE,FALSE,tablet
1PRO tablets 1GB+16GB Blue,Shipped from abroad,"EGP 3,680.00",17%,https://www.jumia.com.eg/generic-1pro-tablets-1gb16gb-blue-43052819.html, , , , ,FALSE,FALSE,tablet
Huawei TABLET HUAWEI MATEPAD T8 2G RAM 32GB DEEPSEA BLUE,"EGP 4,770.00","EGP 6,800.00",30%,https://www.jumia.com.eg/huawei-tablet-huawei-matepad-t8-2g-ram-32gb-deepsea-blue-40106801.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/10/860104/1.jpg?3347,Color Blue Storage Capacity 32 GB RAM 2 GB Main Camera Resolution 5 MP Front Camera 2 MP Operating System Type Android 10 Processor Manufacturer MediaTek Number of Processor Core Octa Core Battery Capacity 5000 - 6000 mAh Bluetooth Yes Display Size 8 Inch Display Type IPS LCD Dimensions 199.7 x 121.1 x 8.6 mm Weight in Grams 310,SKU: HU820MP06GRPKNAFAMZ Model: T8 Color: DEEPSEA BLUE,0 out of 5 (No ratings available),FALSE,FALSE,tablet
8.5 Inch LCD Writing Tablet - Black Color,EGP 83.00,EGP 150.00,45%,https://www.jumia.com.eg/generic-8.5-inch-lcd-writing-tablet-black-color-39832407.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/70/423893/1.jpg?7234,"8.5 LCD writing tablet Environment -friendly  no paper , no chalk painting  graffiti practice  calculus color : black how to use  1- pull out the pen  2-writing on the area directly with the pen  press the remove button to erase the writing content",SKU: GE810MP15XFF9NAFAMZ Production Country: China Color: black Main Material: n/a,0 out of 5 (No ratings available),FALSE,FALSE,tablet
"Lenovo Original 10.1 inch TABLET Tab 2 A10-70F MT8165 Quad Core 64-Bit 2GB 16GB Android 6.0 Tablet PC, 7000mAh 1920x1200 8MP Camera",Shipped from abroad,"EGP 2,560.00",18%,https://www.jumia.com.eg/lenovo-original-10.1-inch-tablet-tab-2-a10-70f-mt8165-quad-core-64-bit-2gb-16gb-android-6.0-tablet-pc-7000mah-1920x1200-8mp-camera-41384840.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/04/848314/1.jpg?0847,"( USED / RE-NEWED ) 10.1 inch TABLET  Lenovo Tab 2 A10-70F MT8165 Quad Core 64-Bit 2GB 16GB Android 6.0 Tablet PC, 7000mAh 1920x1200 8MP Camera  1. 10.1 inch IPS large screen, HD 1920x1200 resolution, perfect tablet for work or entertainment. 2. Fashionable appearance, ultra-narrow frame design, vogue and elegant, smooth surface and comfortable feel. 3. Professional Dolby Atmos Speaker and 8MP+5MP Dual Camera. 4. 7000mAh battery with high efficiency. 5. Support 2.4g and 5.0g dual band WiFi and Bluetooth. 6. 2+16GB storage, support 128GB micro SD/TF card. (Card is not included in this item. 7. Multi-language support, meet the needs of people all over the world.  Note: This device is only designed to work with the current Android OS installed on it. Any changes such as updates or flashing a newer version will void the warranty.","SKU: LE018MP02VWZENAFAMZ Size (L x W x H cm): 247 x 171 x 8.9 mm Color: BLUE,WHITE",0 out of 5 (No ratings available),FALSE,FALSE,tablet
13 Inch LCD Writing Tablet Handwriting Drawing Sketching Graffiti Scribble Doodle Board(Black),Shipped from abroad,"EGP 1,199.00",30%,https://www.jumia.com.eg/generic-13-inch-lcd-writing-tablet-handwriting-drawing-sketching-graffiti-scribble-doodle-boardblack-30701253.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/35/210703/1.jpg?3717,Memo Pad Message Board Writing Drawing Board Great Gifts for Kids Electronic Graphic Board Consumer Electronics Digital Drawing Board null Memo Pad Message Board Writing Drawing Board Great Gifts for Kids Electronic Graphic Board Consumer Electronics Digital Drawing Board null,SKU: GE810MP0KYOR3NAFAMZ Model: CA0273B Color: Black,0 out of 5 (No ratings available),FALSE,FALSE,tablet
11PRO tablets 1GB+16GB Black,Shipped from abroad,"EGP 3,680.00",17%,https://www.jumia.com.eg/generic-11pro-tablets-1gb16gb-black-43050290.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/09/205034/1.jpg?0531,"Specification: 1.Model No.:11PRO 2.Platform : MT6592 3.Standby: support, double card 4.Screen: 10.1 HD+ Full Display 1280*800 5.Speaker: 1511 Box Speaker 6.Frequency: GSM850, Active 2G frequency band 8.Colors:   White / Black / Green / Blue 9.Memory: 1GB RAM+16GB ROM 2.Multi Media: MP3/MP4/2GP/FM Radio/Bluetooth 11.Camera: 0.3MP+2MP 12.Multi Function: Full screen,  Face recognition,  Dual SIM Wifi, Gravity Sensor, Alarm ,Calendar ,Calculator , WAP/MMS/, Image viewer,E-Book,World clock,Tasks card rear flash IML rear cover  13.Languages: Multi-language support 14.Others: Android OS 5.1 System 15.Battery:4000mAh Lithium-ion battery 16.Type-C plug 17.Ultra unibody",SKU: GE810MP05HANENAFAMZ Color: Black,0 out of 5 (No ratings available),FALSE,FALSE,tablet
Xiaomi Wicue Kids LED Handwriting Board Imagine Drawing Ad(Pink),Shipped from abroad,"EGP 1,370.00",30%,https://www.jumia.com.eg/generic-xiaomi-wicue-kids-led-handwriting-board-imagine-drawing-adpink-21445590.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/09/554412/1.jpg?6056,Xiaomi Handwriting Board Consumer Electronics Digital Drawing Board Soft Cases Xiaomi Handwriting Board Consumer Electronics Digital Drawing Board Soft Cases Xiaomi Handwriting Board Consumer Electronics Digital Drawing Board Soft Cases Xiaomi Handwriting Board Consumer Electronics Digital Drawing Board Soft Cases Xiaomi Handwriting Board Consumer Electronics Digital Drawing Board Soft Cases Xiaomi Handwriting Board Consumer Electronics Digital Drawing Board Soft Cases,SKU: GE810MP05OS8CNAFAMZ Model: CA5103F Color: Pink,0 out of 5 (No ratings available),FALSE,FALSE,tablet
x101 1GB+16GB tablets Gold,Shipped from abroad,"EGP 3,712.00",15%,https://www.jumia.com.eg/generic-x101-1gb16gb-tablets-gold-43479030.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/03/097434/1.jpg?6084,"Specification: 1.Model No.:x101 2.Platform : MT6592 3.Standby: support, double card 4.Screen: 10.1 HD+ Full Display 1280*800 5.Speaker: 1511 Box Speaker 6.Frequency: GSM850, Active 2G frequency band 8.Colors:   Blue / Grey / Gold 9.Memory: 1GB RAM+16GB ROM 2.Multi Media: MP3/MP4/2GP/FM Radio/Bluetooth 11.Camera: 0.3MP+2MP 12.Multi Function: Full screen,  Face recognition,  Dual SIM Wifi, Gravity Sensor, Alarm ,Calendar ,Calculator , WAP/MMS, Image viewer,E-Book,World clock,Tasks card rear flash IML rear cover  13.Languages: Multi-language support 14.Others: Android OS 5.1 System 15.Battery:4000mAh Lithium-ion battery 16.Type-C plug 17.Ultra unibody  ",SKU: GE810MP01UDZUNAFAMZ Color: Gold,0 out of 5 (No ratings available),FALSE,FALSE,tablet
12 Inch LCD Writing Tablet Drawing Graffiti Electronic Handwriting Pad Message Graphics Board Draft Paper(Black),Shipped from abroad,EGP 655.00,30%,https://www.jumia.com.eg/generic-12-inch-lcd-writing-tablet-drawing-graffiti-electronic-handwriting-pad-message-graphics-board-draft-paperblack-30702928.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/82/920703/1.jpg?4378,Office School Drawing Draft Paper Handwriting Pad Consumer Electronics Digital Drawing Board Soft Cases Office School Drawing Draft Paper Handwriting Pad Consumer Electronics Digital Drawing Board Soft Cases,SKU: GE810MP1DDA0VNAFAMZ Model: CA1235B Color: Black,0 out of 5 (No ratings available),FALSE,FALSE,tablet
11PRO tablets 1GB+16GB,Shipped from abroad,"EGP 3,680.00",17%,https://www.jumia.com.eg/generic-11pro-tablets-1gb16gb-43288722.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/22/788234/1.jpg?3771,"Specification: 1.Model No.:11PRO 2.Platform : MT6592 3.Standby: support, double card 4.Screen: 10.1 HD+ Full Display 1280*800 5.Speaker: 1511 Box Speaker 6.Frequency: GSM850, Active 2G frequency band 8.Colors:   White / Black / Green / Blue 9.Memory: 1GB RAM+16GB ROM 2.Multi Media: MP3/MP4/2GP/FM Radio/Bluetooth 11.Camera: 0.3MP+2MP 12.Multi Function: Full screen,  Face recognition,  Dual SIM Wifi, Gravity Sensor, Alarm ,Calendar ,Calculator , WAP/MMS/, Image viewer,E-Book,World clock,Tasks card rear flash IML rear cover  13.Languages: Multi-language support 14.Others: Android OS 5.1 System 15.Battery:4000mAh Lithium-ion battery 16.Type-C plug 17.Ultra unibody",SKU: GE810MP0DKFIINAFAMZ Color: Green,0 out of 5 (No ratings available),FALSE,FALSE,tablet
Honor Pad 8 4/128G Blue,"EGP 8,999.00","EGP 9,299.00",3%,https://www.jumia.com.eg/honor-pad-8-4128g-blue-44346664.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/46/664344/1.jpg?4056,Camera Type: Primary Camera + Secondary Camera Charging Type: Type-C Color Name: Blue Internal Memory: 128 GB Model Name: Honor Pad 8 Model Number: Honor Pad 8 Network Frequency Band: Wi-Fi Operating System: Android,SKU: HO474MP0RS6FSNAFAMZ Model: Pad 8 Size (L x W x H cm): 278.5 x 174.1 x 6.9 mm Color: Blue,0 out of 5 (No ratings available),FALSE,FALSE,tablet
Huawei MatePad T 8 - 32GB/2GB - 8 Inch - Deepsea Blue,"EGP 4,900.00","EGP 5,390.00",9%,https://www.jumia.com.eg/huawei-matepad-t-8-32gb2gb-8-inch-deepsea-blue-40845256.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/65/254804/1.jpg?4229,2GB 32GB 8 inch  deepsea blue,SKU: HU820MP12UMXGNAFAMZ Model: MatePad T8 Production Country: China Color: deepsea blue,0 out of 5 (No ratings available),FALSE,FALSE,tablet
9 Inch Children Cartoon Handwriting Board LCD Electronic Writing Board -Monochrome Screen(Blue),Shipped from abroad,EGP 855.00,30%,https://www.jumia.com.eg/generic-9-inch-children-cartoon-handwriting-board-lcd-electronic-writing-board-monochrome-screenblue-30701351.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/15/310703/1.jpg?3709,LCD Electronic Writing Board LCD Electronic Writing Board LCD Electronic Writing Board LCD Electronic Writing Board LCD Electronic Writing Board LCD Electronic Writing Board,SKU: GE810MP0945TBNAFAMZ Model: TBD0427042501E Color: Blue,0 out of 5 (No ratings available),FALSE,FALSE,tablet
Huawei Matepad T10 9.7'' LTE 2G 32G Blue,"EGP 5,250.00","EGP 5,699.00",8%,https://www.jumia.com.eg/huawei-matepad-t10-9.7-lte-2g-32g-blue-44346655.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/55/664344/1.jpg?3984,"Display:  IPS LCD - 9.7"" Processor :  Octa-core Internal Memory : 32GB Memory RAM:  2GB Rear Camera:  5 MP Front Camera:  2MP  Battery:  5100 mAh Colors:  Deepsea Blue",SKU: HU820MP0X52VSNAFAMZ Model: T10 Size (L x W x H cm): 240.2 x 159 x 7.9 mm Color: Blue,0 out of 5 (No ratings available),FALSE,FALSE,tablet
10 Inch Children Electronic LCD Handwriting Drawing Board Puzzle Graffiti Painting One-Click Clear Writing Board Toy(Green),Shipped from abroad,"EGP 1,998.00",30%,https://www.jumia.com.eg/generic-10-inch-children-electronic-lcd-handwriting-drawing-board-puzzle-graffiti-painting-one-click-clear-writing-board-toygreen-30701399.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/99/310703/1.jpg?3779,Handwriting Drawing Board Handwriting Drawing Board Handwriting Drawing Board Handwriting Drawing Board Handwriting Drawing Board Handwriting Drawing Board,SKU: GE810MP1N4KMNNAFAMZ Model: TBD0559367801B Color: Green,0 out of 5 (No ratings available),FALSE,FALSE,tablet
x101 1GB+16GB tablets Grey,Shipped from abroad,"EGP 3,712.00",15%,https://www.jumia.com.eg/generic-x101-1gb16gb-tablets-grey-43479029.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/92/097434/1.jpg?6024,"Specification: 1.Model No.:x101 2.Platform : MT6592 3.Standby: support, double card 4.Screen: 10.1 HD+ Full Display 1280*800 5.Speaker: 1511 Box Speaker 6.Frequency: GSM850, Active 2G frequency band 8.Colors:   Blue / Grey / Gold 9.Memory: 1GB RAM+16GB ROM 2.Multi Media: MP3/MP4/2GP/FM Radio/Bluetooth 11.Camera: 0.3MP+2MP 12.Multi Function: Full screen,  Face recognition,  Dual SIM Wifi, Gravity Sensor, Alarm ,Calendar ,Calculator , WAP/MMS, Image viewer,E-Book,World clock,Tasks card rear flash IML rear cover  13.Languages: Multi-language support 14.Others: Android OS 5.1 System 15.Battery:4000mAh Lithium-ion battery 16.Type-C plug 17.Ultra unibody",SKU: GE810MP1ITYU2NAFAMZ Color: Grey,0 out of 5 (No ratings available),FALSE,FALSE,tablet
A4-19 6.5W Three Level Of Brightness Dimmable A4 LED Drawing Sketchpad Light Pad With USB Cable (White),Shipped from abroad,"EGP 1,927.00",30%,https://www.jumia.com.eg/generic-a4-19-6.5w-three-level-of-brightness-dimmable-a4-led-drawing-sketchpad-light-pad-with-usb-cable-white-21447699.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/99/674412/1.jpg?6716,Copy Boards Sketch Boards Copy Boards Sketch Boards Copy Boards Sketch Boards,SKU: GE810MP1NCD9ONAFAMZ Model: CA0493W Color: White,0 out of 5 (No ratings available),FALSE,FALSE,tablet
16inch Rainbow LCD Screen Electronic Handwriting Pad Writing Board,Shipped from abroad,"EGP 2,699.00",31%,https://www.jumia.com.eg/generic-16inch-rainbow-lcd-screen-electronic-handwriting-pad-writing-board-30702657.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/75/620703/1.jpg?4250,Electronic drawing board Electronic drawing board Electronic drawing board Electronic drawing board Electronic drawing board Electronic drawing board,SKU: GE810MP190TB3NAFAMZ Model: HC5228,0 out of 5 (No ratings available),TRUE,FALSE,tablet
8.5 Inch LCD Writing Tablet High Brightness Handwriting Drawing Sketching Graffiti Scribble Doodle Board(Red),Shipped from abroad,EGP 798.00,30%,https://www.jumia.com.eg/generic-8.5-inch-lcd-writing-tablet-high-brightness-handwriting-drawing-sketching-graffiti-scribble-doodle-boardred-30702929.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/92/920703/1.jpg?4378,Memo Pad Message Board Writing Drawing Board Great Gifts for Kids Electronic Graphic Board Consumer Electronics Digital Drawing Board null Memo Pad Message Board Writing Drawing Board Great Gifts for Kids Electronic Graphic Board Consumer Electronics Digital Drawing Board null,SKU: GE810MP1JBM2NNAFAMZ Model: CA0267R Color: Red,0 out of 5 (No ratings available),FALSE,FALSE,tablet
"Lenovo Tab3 10 TB3-X70F (ZA0X0089BG) tablet, 10.1"" FHD, Quad-Core 1.3 GHz processor, 2GB/16GB EMMC, Bluetooth, Android 6.0",Shipped from abroad,"EGP 3,168.00",30%,https://www.jumia.com.eg/lenovo-tab3-10-tb3-x70f-za0x0089bg-tablet-10.1-fhd-quad-core-1.3-ghz-processor-2gb16gb-emmc-bluetooth-android-6.0-44206479.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/97/460244/1.jpg?4454,"Tech Specs Processor	MediaTek™ 1.3 GHz Quad-Core, 64-bit Operating System	Android™ 6.0 Audio	Dual Speakers with Dolby Atmos® Memory	 RAM : 2 GB / 3 GB Internal Storage : 32 GB / 64 GB + microSD™ Expandable Memory : Up to 64 GB  Battery	 Battery Capacity : 7000 mAh Usage Time : Up to 12 Hours  Display	 Size : 10.1"" FHD IPS Resolution : 1920 x 1200 Scratch-proof : Corning® Gorilla® Glass Durable : IP52 From P2i Technology, Splash-proof IPX2, Dust-proof IP5X  Dimensions (W x T x H)	 (mm) : 171 x 8.9 x 247 (inches) : 6.73"" x 0.35"" x 9.72""  Weight	Starting at 1.12 lbs (509 g) Colors	Slate Black",SKU: LE018MP1M0WT0NAFAMZ Size (L x W x H cm): (mm) : 171 x 8.9 x 247 Color: BLACK,0 out of 5 (No ratings available),FALSE,FALSE,tablet
11PRO tablets 1GB+16GB White,Shipped from abroad,"EGP 3,680.00",17%,https://www.jumia.com.eg/generic-11pro-tablets-1gb16gb-white-43374679.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/97/647334/1.jpg?7141,"Specification: 1.Model No.:11PRO 2.Platform : MT6592 3.Standby: support, double card 4.Screen: 10.1 HD+ Full Display 1280*800 5.Speaker: 1511 Box Speaker 6.Frequency: GSM850, Active 2G frequency band 8.Colors:   White / Black / Green / Blue 9.Memory: 1GB RAM+16GB ROM 2.Multi Media: MP3/MP4/2GP/FM Radio/Bluetooth 11.Camera: 0.3MP+2MP 12.Multi Function: Full screen,  Face recognition,  Dual SIM Wifi, Gravity Sensor, Alarm ,Calendar ,Calculator , WAP/MMS/, Image viewer,E-Book,World clock,Tasks card rear flash IML rear cover  13.Languages: Multi-language support 14.Others: Android OS 5.1 System 15.Battery:4000mAh Lithium-ion battery 16.Type-C plug 17.Ultra unibody",SKU: GE810MP1M4X5YNAFAMZ Color: White,0 out of 5 (No ratings available),FALSE,FALSE,tablet
PRO14 1GB+16GB tablets Gren,Shipped from abroad,"EGP 3,712.00",15%,https://www.jumia.com.eg/generic-pro14-1gb16gb-tablets-gren-43479021.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/12/097434/1.jpg?4885,"Specification: 1.Model No.:PRO14 2.Platform : MT6592 3.Standby: support, double card 4.Screen: 10.1 HD+ Full Display 1280*800 5.Speaker: 1511 Box Speaker 6.Frequency: GSM850, Active 2G frequency band 8.Colors:   White / Black / Green / Gold 9.Memory: 1GB RAM+16GB ROM 2.Multi Media: MP3/MP4/2GP/FM Radio/Bluetooth 11.Camera: 0.3MP+2MP 12.Multi Function: Full screen,  Face recognition,  Dual SIM Wifi, Gravity Sensor, Alarm ,Calendar ,Calculator , WAP/MMS, Image viewer,E-Book,World clock,Tasks card rear flash IML rear cover  13.Languages: Multi-language support 14.Others: Android OS 5.1 System 15.Battery:4000mAh Lithium-ion battery 16.Type-C plug 17.Ultra unibody  ",SKU: GE810MP077AFUNAFAMZ Color: Green,0 out of 5 (No ratings available),TRUE,FALSE,tablet
"Lenovo Tab3 10 TB3-X70F (ZA0X0089BG) tablet, 10.1"" FHD, MediaTek MT8161 Quad-Core 1.3 GHz processor, 2GB/16GB EMMC, Bluetooth, Android 6.0",Shipped from abroad,"EGP 3,168.00",29%,https://www.jumia.com.eg/lenovo-tab3-10-tb3-x70f-za0x0089bg-tablet-10.1-fhd-mediatek-mt8161-quad-core-1.3-ghz-processor-2gb16gb-emmc-bluetooth-android-6.0-44127252.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/25/272144/1.jpg?5244,"Processor	MediaTek™ 1.3 GHz Quad-Core, 64-bit Operating System	Android™ 6.0 Audio	Dual Speakers with Dolby Atmos® Memory	 RAM : 2 GB / 3 GB Internal Storage : 32 GB / 64 GB + microSD™ Expandable Memory : Up to 64 GB  Battery	 Battery Capacity : 7000 mAh Usage Time : Up to 12 Hours  Display	 Size : 10.1"" FHD IPS Resolution : 1920 x 1200 Scratch-proof : Corning® Gorilla® Glass Durable : IP52 From P2i Technology, Splash-proof IPX2, Dust-proof IP5X  Dimensions (W x T x H)	 (mm) : 171 x 8.9 x 247 (inches) : 6.73"" x 0.35"" x 9.72""  Weight	Starting at 1.12 lbs (509 g) Colors	Slate Black",SKU: LE018MP0F1O40NAFAMZ Size (L x W x H cm): (mm) : 171 x 8.9 x 247 Color: black，white,0 out of 5 (No ratings available),FALSE,FALSE,tablet
PRO14 1GB+16GB tablets Gold,Shipped from abroad,"EGP 3,712.00",15%,https://www.jumia.com.eg/generic-pro14-1gb16gb-tablets-gold-43479022.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/22/097434/1.jpg?5006,"Specification: 1.Model No.:PRO14 2.Platform : MT6592 3.Standby: support, double card 4.Screen: 10.1 HD+ Full Display 1280*800 5.Speaker: 1511 Box Speaker 6.Frequency: GSM850, Active 2G frequency band 8.Colors:   White / Black / Green / Gold 9.Memory: 1GB RAM+16GB ROM 2.Multi Media: MP3/MP4/2GP/FM Radio/Bluetooth 11.Camera: 0.3MP+2MP 12.Multi Function: Full screen,  Face recognition,  Dual SIM Wifi, Gravity Sensor, Alarm ,Calendar ,Calculator , WAP/MMS, Image viewer,E-Book,World clock,Tasks card rear flash IML rear cover  13.Languages: Multi-language support 14.Others: Android OS 5.1 System 15.Battery:4000mAh Lithium-ion battery 16.Type-C plug 17.Ultra unibody",SKU: GE810MP0D5MHMNAFAMZ Color: Gold,0 out of 5 (No ratings available),TRUE,FALSE,tablet
